Reaction	Flux
R_EX_phe_L_e_	0
R_EX_T3SS_E_RipAK_e_	0
R_KDOPS	0.0029903269256711298
R_EX_asp_L_val_L_e_	0
R_MLTGY3pp	0
R_T3SS_E_RipAK_S	0
R_KDOPP	0.0029903269256711298
R_PROT_RSp1466_BioS	0
R_FUMt2_2pp	0
R_NTRLASE	0
R_AHLACY3OC8	0
R_METabcpp	0
R_HG2t3pp	0
R_ME2	0
R_DHAD2	0.05237889156916882
R_NADS2	6.37824413542534e-4
R_UPP3S	1.8731542259119716e-4
R_EX_T3SS_E_RipK_e_	0
R_DHAD1	0.21096089673080445
R_T3SS_E_RipZ_BioS	0
R_GLDBRAN2	0
R_APG3PAT120	0
R_MDH	13.611771265468574
R_GLTN2pp	0
R_DPCOAK	1.612760589124523e-4
R_PROT_PlcN_BioS	0
R_25DOPAOXRED	0
R_CYSTRS	0.017855983448956773
R_EX_PCW_L_Mannose_Rsl2_e_	0
R_EX_ala_D_e_	0
R_RFAMPtpp	0
R_ONOOf_e	0
R_DAGK180	0
R_ASPCTr	0.10281628748836104
R_PPLCc140	0
R_DAGK181	0
R_PPLCc141	0
R_PROT_RSp0518_BioS	0
R_GUAPRT	0
R_ONOOf_p	0
R_CO2tpp	-27.57063137612369
R_PC20M	6.24384741970657e-5
R_IMPC	-0.13872446319961643
R_IMPD	0.06897967435039246
R_TGBPA	0
R_FDH6	7.492616903648496e-4
R_PROT_ce_RSp0295_S	0
R_acfvteff	0
R_CU1O	1.739949668557026e-21
R_4AMBUAT	0
R_EX_glcur_e_	0
R_TMKr	0
R_NO3abcpp	0
R_UHGADA	0.005980653851342259
R_T3SS_E_RipQ_S	0
R_PYNP2r	0
R_METOX2s	0
R_EX_Berb_e_	0
R_IGPDH	0.033595992213926354
R_EX_protein_RSp0030_e_	0
R_NTPP9	0
R_T3SS_E_RipAE_BioS	0
R_NTPP4	0
R_NTPP3	0
R_NTPP5	0
R_PG160abcpp	0.0019767516943106902
R_VALt2rpp	0
R_AMAOTr	5.599863156687507e-7
R_EX_14aglucan_e_	0
R_EX_ins_e_	0
R_PSGlcNActpp	0
R_EX_slnt_e_	0
R_T3SS_E_RipL_BioS	0
R_IADtex	0
R_H2O2FERR	0
R_AM4PA	0
R_EX_PCW_RSp0294_act_e_	0
R_SAL5HL	0
R_MCCDNabcpp	0
R_METOX1s	0
R_2H5CMMSEMOR	0
R_HSERTA	0.027408296411867136
R_SUCptspp	0
R_3HPPtpp	0
R_GLCNtex	0
R_PCW_bd_RSp1073	0
